PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,Std.Err(IC50),nH,%Inhibition at 5 uM,Mean High,STD Deviation High,Mean Low,STD Deviation Low
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,% inhibition of CYP2C9 in primary screening,Mean luminescence signal of negative controls in the corresponding plate,Standard deviation (n=64) of negative controls in the corresponding plate,Mean luminescence signal of positive controls in the corresponding plate,Standard deviation (n=64) of positive controls in the corresponding plate
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,NONE,NONE,CPS,CPS,CPS,CPS
1,17406628,1218287,CCC(=O)NC1=C(C=CC(=C1)C(=O)OCC(=O)C2=CC=CC=C2Cl)C,Inactive,0,,,,,,-108.7,65422,10333,297.33,301.88
2,17406959,6247698,CC1=CC=C(C=C1)/C=C/C2=NN=C(O2)C3=CC=C(C=C3)C,Inactive,15,,,,,,39.6,65422,10333,297.33,301.88
3,17406670,833356,C1CN(C2=CC=CC=C21)C(=S)NC(=O)COC3=CC=CC=C3Cl,Inactive,0,,,,,,-9.5,65422,10333,297.33,301.88
4,17406638,3542312,CCC1=CC(=C(S1)NC(=O)C2=CC=CC=C2)C(C3=CC=C(C=C3)F)N4CCOCC4,Inactive,15,,,,,,38.4,65422,10333,297.33,301.88
5,17406869,11958382,CCCCCNCC1=CC(=CC=C1)Br.Cl,Inactive,2,,,,,,5.3,65422,10333,297.33,301.88
6,17406602,1811564,CC1=CC=CC=C1OCCNC(=S)NC2=CC=CC=C2,Inactive,3,,,,,,8.8,65422,10333,297.33,301.88
7,17406669,6872980,CC1=CC=CC=C1C(=O)N/N=C/C2=CC=NC=C2,Inactive,6,,,,,,15.3,65422,10333,297.33,301.88
8,17406764,844536,CCN1C(=C(C=N1)/C=C/C(=O)NCC2=CN(N=C2C)C)C,Inactive,0,,,,,,-0.7,65422,10333,297.33,301.88
9,17406597,406791,C1=CC=C(C=C1)N2C(=NN=N2)C3=CNC4=C3C=C(C=C4)Cl,Inactive,13,,,,,,34.5,65422,10333,297.33,301.88
10,17406681,842961,CC1=CN(N=C1)CCC(=O)NNC(=S)NC2=CC(=CC=C2)Cl,Inactive,0,,,,,,-0.2,65422,10333,297.33,301.88
11,17406652,3501416,C1CCN(C1)C(C(Cl)(Cl)Cl)NC(=O)C2=CC=CC=C2,Inactive,0,,,,,,0.3,65422,10333,297.33,301.88
12,17406686,588601,C1=CC=C(C=C1)CNC(=O)CSCC(=O)NC2=CC3=CC=CC=C3C=C2,Inactive,0,,,,,,-2.2,65422,10333,297.33,301.88
13,17406687,11958371,CCC(=O)NC(C(=O)OCC)(C(F)(F)F)NC1=C(C=C(C=C1)C(C(=O)OCC)(C(F)(F)F)O)C,Active,21,,,,,,54.1,65422,10333,297.33,301.88
14,17406682,842925,CC1=CN(N=C1)CCC(=O)NNC(=S)NC2=CC=C(C=C2)F,Inactive,0,,,,,,1.8,65422,10333,297.33,301.88
15,17406625,9617644,COC1=CC=C(C=C1)C(=O)OC2=C(C=CC(=C2)/C=N/NC(=S)N)OC,Inactive,0,,,,,,0.6,65422,10333,297.33,301.88
16,17406642,6872802,CCOC1=C(C=CC(=C1)/C=N/NC(=O)C2=CC(=CC=C2)[N+](=O)[O-])OS(=O)(=O)C3=CC=CC=C3,Active,23,,,,,,59.1,65422,10333,297.33,301.88
17,17406671,11835442,CC1(CC(CC(N1CC(COCCOC2=CC=C(C=C2)Br)O)(C)C)O)C,Inactive,0,,,,,,1.2,65422,10333,297.33,301.88
18,17406653,6872184,COC1=C(C=CC(=C1)/C=N/NC(=O)C2=CN=CC=C2)OC(=O)C3=CC4=C(C=C3)OCO4,Inactive,0,,,,,,-2,65422,10333,297.33,301.88
19,17406654,5261757,C=CCNC(=O)C1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CC=C3)C4=CC=CC=C4,Inactive,19,,,,,,49.6,65422,10333,297.33,301.88
20,17406793,4326570,CCC1=CC=C(C=C1)C(=O)COC(=O)C(CC2=CC=CC=C2)NC(=O)C3CCC(CC3)C,Inactive,7,,,,,,18.4,65422,10333,297.33,301.88
21,17406970,4687157,C1C(C(=O)N(C1=O)CC(C2=CC=CC=C2)C3=CC=CC=C3)SCC(=O)NC4=CC=C(C=C4)Cl,Active,34,,,,,,85.3,65422,10333,297.33,301.88
22,17406679,6015853,CC1=C(C=NN1C)/C=C/C(=O)C2=CC=CC=C2,Inactive,4,,,,,,10.7,65422,10333,297.33,301.88
