PUBCHEM_CID,Inhibition_at_5_uM,Activity_Class,SMILES,MW,LogP,NumHDonors,NumHAcceptors
2827417.0,94.6,Active (Strong/Moderate),C#CC(CO)N(CCN(CC1=CC=CC=C1)C(CO)C#C)CC2=CC=CC=C2,376.5000000000001,1.9789999999999994,2.0,4.0
1476582.0,91.6,Active (Strong/Moderate),C#CCN1C(=C(N=C1S(=O)(=O)CC2=CC=C(C=C2)F)C3=CC=CC=C3)C4=CC=CC=C4,430.5040000000001,4.963300000000004,0.0,3.0
2132822.0,99.2,Active (Strong/Moderate),C#CCSC1=NN=C(N1C2=CC=CC=C2)CSC3=NC4=CC=CC=C4S3,394.5500000000001,4.894600000000003,0.0,6.0
6380971.0,84.0,Active (Strong/Moderate),C/C(=C(/C#N)\C(=O)COC(=O)C1CCC(CC1)C(C)(C)C)/N,306.406,2.7074800000000003,1.0,5.0
6051700.0,80.9,Active (Strong/Moderate),C/C(=C(/C#N)\C(=O)COC(=O)CC12CC3CC(C1)CC(C3)C2)/N,316.40100000000007,2.46148,1.0,5.0
5742498.0,77.2,Active (Strong/Moderate),C/C(=C(/C#N)\C(=O)CSC1=NN(C(=N1)C2CCCCC2)C3=CC=CC=C3)/N,381.50500000000017,3.7324800000000016,1.0,6.0
5769113.0,89.6,Active (Strong/Moderate),C/C(=C/CN1C2=C(N=C1NCCCN3C=CN=C3)N(C(=O)NC2=O)C)/Cl,377.8360000000001,1.2646,2.0,5.0
838775.0,81.9,Active (Strong/Moderate),C/C(=C/CSC1=NN2C(=O)C3=CC=CC=C3N=C2S1)/Cl,323.83000000000004,3.5389000000000017,0.0,5.0
5334620.0,78.9,Active (Strong/Moderate),C/C(=C\C1=CC=CC=C1)/C=N/NC(=O)C2=CC=NC=C2,265.316,2.9007000000000005,1.0,3.0
5769217.0,90.8,Active (Strong/Moderate),C/C(=C\C1=CC=CO1)/C2C(=C(OC3=C2C(=O)CC(C3)(C)C)N)C#N,324.38,3.666380000000002,1.0,5.0
6874924.0,89.0,Active (Strong/Moderate),C/C(=C\C1=CC=CO1)/C=N/NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=C(C=C4)Cl,415.8800000000001,5.967300000000004,1.0,4.0
9617636.0,99.9,Active (Strong/Moderate),C/C(=C\C1=CC=CO1)/C=N/NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=NC=C4,382.42300000000006,4.708900000000003,1.0,5.0
5769116.0,85.1,Active (Strong/Moderate),C/C(=C\CN1C2=C(N=C1N3CCCCCC3)N(C(=O)N(C2=O)C)C)/Cl,365.865,1.9566999999999997,0.0,4.0
5389846.0,99.6,Active (Strong/Moderate),C/C(=C\CN1C2=C(N=C1NCCCN3C=CN=C3)N(C(=O)N(C2=O)C)C)/Cl,391.86300000000017,1.275,1.0,5.0
5431927.0,98.3,Active (Strong/Moderate),C/C(=N/NC(=O)C1=CC2=CC=CC=C2C=C1O)/C3C(=O)C4=CC=CC=C4C3=O,372.3800000000001,3.3465000000000016,2.0,5.0
5999039.0,97.3,Active (Strong/Moderate),C/C(=N/NS(=O)(=O)C1=CC=C(C=C1)Cl)/C2=CC(=CC=C2)NC(=O)C3=C(C=C(C=C3)Cl)Cl,496.8030000000001,5.601600000000002,2.0,4.0
5431769.0,95.1,Active (Strong/Moderate),C/C(=N/NS(=O)(=O)C1=CC=C(C=C1)OC)/C2=CC(=CC=C2)NC(=O)C3=CC=CC=C3Cl,457.9390000000001,4.3034000000000034,2.0,5.0
5332734.0,78.6,Active (Strong/Moderate),C/C(=N/NS(=O)(=O)C1=CC=C(C=C1)OC)/C2=CC=C(C=C2)Cl,338.81600000000003,3.0511000000000017,1.0,4.0
5410013.0,91.4,Active (Strong/Moderate),C/C(=N/OC(=O)C1=CC=C(C=C1)OC)/C2=CC=CS2,275.329,3.3377000000000026,0.0,5.0
135511002.0,75.4,Active (Strong/Moderate),C/C(=N\N=C/1\NC(=O)CC(S1)C(=O)NC2=CC=C(C=C2)Cl)/CCC3=CC4=C(C=C3)OCO4,472.95400000000035,3.9936000000000034,2.0,7.0
9612045.0,99.2,Active (Strong/Moderate),C/C(=N\NC(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=CC=C(C=C2)OC)/C3=CC=C(C=C3)N4C=CN=C4,489.5570000000002,3.8357000000000028,2.0,6.0
9609444.0,100.0,Active (Strong/Moderate),C/C(=N\NC(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=CC=CC=C2Cl)/C3=CC=C(C=C3)N4C=CN=C4,493.9760000000001,4.480500000000003,2.0,5.0
9669103.0,99.3,Active (Strong/Moderate),C/C(=N\NC(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=CC=CC=C2OC)/C3=CC=C(C=C3)N4C=CN=C4,489.5570000000002,3.8357000000000028,2.0,6.0
9566968.0,90.2,Active (Strong/Moderate),C/C(=N\NC(=O)C1=CC=CC=C1O)/C2C(=O)C3=CC=CC=C3C2=O,322.32000000000005,2.1933,2.0,5.0
9608886.0,100.3,Active (Strong/Moderate),C/C(=N\NC(=S)NC)/C1=CC=C(C=C1)N2C=CN=C2,273.365,1.6901999999999997,2.0,3.0
6061337.0,99.7,Active (Strong/Moderate),C/C(=N\NC(=S)NCCOC)/C1=CC=C(C=C1)N2C=CN=C2,317.418,1.7067999999999997,2.0,4.0
56642823.0,81.7,Active (Strong/Moderate),C/C(=N\NC1=NC2=C(S1)CCCC2)/C3=CC=CC=C3,271.38899999999995,3.8580000000000023,1.0,4.0
9675351.0,99.8,Active (Strong/Moderate),C/C(=N\NS(=O)(=O)C1=CC(=C(C=C1)Cl)[N+](=O)[O-])/C2=CC3=CC=CC=C3O2,393.80800000000016,3.696900000000002,1.0,6.0
135426125.0,77.5,Active (Strong/Moderate),C/C(=N\NS(=O)(=O)C1=CC=C(C=C1)Cl)/C2=CC=C(C=C2)O,324.78900000000004,2.7481000000000013,2.0,4.0
9620482.0,91.4,Active (Strong/Moderate),C/C(=N\NS(=O)(=O)C1=CC=CC(=C1)[N+](=O)[O-])/C2=CC3=CC=CC=C3O2,359.36300000000006,3.0435000000000016,1.0,6.0
5412057.0,88.4,Active (Strong/Moderate),C/C(=N\OC(=O)C1=CC=C(C=C1)OC)/C2=CC=CC=C2,269.3,3.276200000000002,0.0,4.0
6268493.0,75.0,Active (Strong/Moderate),C/C(=N\OC(=O)C1=CC=CS1)/C2CC2C3=CC=C(C=C3)OC,315.39400000000006,4.093100000000004,0.0,5.0
895212.0,81.0,Active (Strong/Moderate),C/C=C/C1=C(C(=C(C(=C1F)F)OC2=CC=C(C=C2)C(=O)O)F)F,326.24499999999995,4.766600000000002,1.0,2.0
